Title,Artist,Album
Iktara,"Amit Trivedi, Kavita Seth, Amitabh Bhattacharya",Wake Up Sid (Original Motion Picture Soundtrack)
Naina Da Kya Kasoor,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack)
Pareshaan,"Amit Trivedi, Shalmali Kholgade, Kausar Munir",Ishaqzaade
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Jawan
"Bheege Bheege (From ""Amavas"")","Ankit Tiwari, Sunidhi Chauhan","Bheege Bheege (From ""Amavas"")"
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",Baaghi 2
Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2
Tu Hai Ki Nahi,Ankit Tiwari,Roy
Aashiqui 2 Mashup,"Arijit Singh, Ankit Tiwari, Mithoon, Kiran Kamath",Aashiqui 2 Mashup
Har Kisi Ko,"Arijit Singh, Neeti Mohan",Boss
Main Dhoondne Ko Zamaane Mein,Arijit Singh,Heartless
Milne Hai Mujhse Aayi,Arijit Singh,Aashiqui 2
"Pal Pal Dil Ke Paas - Title Track - From ""Pal Pal Dil Ke Paas""","Arijit Singh, Parampara Thakur","Pal Pal Dil Ke Paas - Title Track (From ""Pal Pal Dil Ke Paas"")"
Raat Bhar,"Arijit Singh, Shreya Ghoshal",Heropanti
Satranga,"Arijit Singh, Shreyas Puranik, Siddharth - Garima",ANIMAL
Sooraj Dooba Hain,"Arijit Singh, Aditi Singh Sharma",Roy
Tujhe Kitna Chahne Lage,Arijit Singh,Kabir Singh
Yeh Fitoor Mera,Arijit Singh,Fitoor (Original Motion Picture Soundtrack)
Meherbani,"Arko, Jubin Nautiyal",The Shaukeens (Original Motion Picture Soundtrack)
Hui Malang,Asees Kaur,Malang - Unleash The Madness
Haiwaan,Ashim Kemson,ANIMAL
Aa Bhi Jaa Sanam,Atif Aslam,Prince (Original Motion Picture Soundtrack)
"Aadat - From ""Kalyug""","Atif Aslam, Jal, Mithoon",Kalyug (Original Motion Picture Soundtrack)
Be Intehaan,"Atif Aslam, Sunidhi Chauhan, Pritam",Race 2 (Original Motion Picture Soundtrack)
Dekhte Dekhte,Atif Aslam,Batti Gul Meter Chalu
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack)
Abhi Toh Party Shuru Hui Hai,"Badshah, Aastha Gill",Khoobsurat
Bang Bang,"Benny Dayal, Neeti Mohan",Bang Bang (Original Motion Picture Soundtrack)
Ek Main Aur Ekk Tu,"Benny Dayal, Anushka Manchanda, Amit Trivedi",Ek Main Aur Ekk Tu
If You Hold My Hand,Benny Dayal,ABCD 2 (Original Motion Picture Soundtrack)
Kaise Mujhe,"Benny Dayal, Shreya Ghoshal",Ghajini
Lat Lag Gayee,"Benny Dayal, Shalmali Kholgade, Pritam",Race 2 (Original Motion Picture Soundtrack)
Pappu Can't Dance,"Benny Dayal, Naresh Iyer, Satish Chakravarthy, Aslam, Blaaze, Tanvi Shah, Bhargavi Pillai",Jaane Tu... Ya Jaane Na
Tu Meri Dost Hain,"Benny Dayal, Shreya Ghoshal",Yuvvraaj (Original Motion Picture Soundtrack)
Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein
Laaree Chootee,Call,Dhoom
Titli,"Chinmayi, Gopi Sundar",Chennai Express
Jannat Ve,Darshan Raval,Jannat Ve
